date,close,open,high,low,volume
2004-07-16T00:00:00-04:00,1101.39001,1106.68994,1112.17004,1101.06995,1450300000.0
2004-07-19T00:00:00-04:00,1100.90002,1101.39001,1105.52002,1096.55005,1319900000.0
2004-07-20T00:00:00-04:00,1108.67004,1100.90002,1108.88,1099.09998,1445800000.0
2004-07-21T00:00:00-04:00,1093.88,1108.67004,1116.27002,1093.88,1679500000.0
2004-07-22T00:00:00-04:00,1096.83997,1093.88,1099.66003,1084.16003,1680800000.0
2004-07-23T00:00:00-04:00,1086.19995,1096.83997,1096.83997,1083.56006,1337500000.0
2004-07-26T00:00:00-04:00,1084.06995,1086.19995,1089.81995,1078.78003,1413400000.0
2004-07-27T00:00:00-04:00,1094.82996,1084.06995,1096.65002,1084.06995,1610800000.0
2004-07-28T00:00:00-04:00,1095.42004,1094.82996,1098.83997,1082.17004,1554300000.0
2004-07-29T00:00:00-04:00,1100.43005,1095.42004,1103.51001,1095.42004,1530100000.0
2004-07-30T00:00:00-04:00,1101.71997,1100.43005,1103.72998,1096.95996,1298200000.0
2004-08-02T00:00:00-04:00,1106.62,1101.71997,1108.59998,1097.33997,1276000000.0
2004-08-03T00:00:00-04:00,1099.68994,1106.62,1106.62,1099.26001,1338300000.0
2004-08-04T00:00:00-04:00,1098.63,1099.68994,1102.44995,1092.40002,1369200000.0
2004-08-05T00:00:00-04:00,1080.69995,1098.63,1098.79004,1079.97998,1397400000.0
2004-08-06T00:00:00-04:00,1063.96997,1080.69995,1080.69995,1062.22998,1521000000.0
2004-08-09T00:00:00-04:00,1065.21997,1063.96997,1069.45996,1063.96997,1086000000.0
2004-08-10T00:00:00-04:00,1079.04004,1065.21997,1079.04004,1065.21997,1245600000.0
2004-08-11T00:00:00-04:00,1075.79004,1079.04004,1079.04004,1065.92004,1410400000.0
2004-08-12T00:00:00-04:00,1063.22998,1075.79004,1075.79004,1062.81995,1405100000.0
2004-08-13T00:00:00-04:00,1064.80005,1063.22998,1067.57996,1060.71997,1175100000.0
2004-08-16T00:00:00-04:00,1079.33997,1064.80005,1080.66003,1064.80005,1206200000.0
2004-08-17T00:00:00-04:00,1081.70996,1079.33997,1086.78003,1079.33997,1267800000.0
2004-08-18T00:00:00-04:00,1095.17004,1081.70996,1095.17004,1078.93005,1282500000.0
2004-08-19T00:00:00-04:00,1091.22998,1095.17004,1095.17004,1086.28003,1249400000.0
2004-08-20T00:00:00-04:00,1098.34998,1091.22998,1100.26001,1089.56995,1199900000.0
2004-08-23T00:00:00-04:00,1095.68005,1098.34998,1101.40002,1094.72998,1021900000.0
2004-08-24T00:00:00-04:00,1096.18994,1095.68005,1100.93994,1092.81995,1092500000.0
2004-08-25T00:00:00-04:00,1104.95996,1096.18994,1106.29004,1093.23999,1192200000.0
2004-08-26T00:00:00-04:00,1105.08997,1104.95996,1106.78003,1102.45996,1023600000.0
2004-08-27T00:00:00-04:00,1107.77002,1105.08997,1109.68005,1104.62,845400000.0
2004-08-30T00:00:00-04:00,1099.15002,1107.77002,1107.77002,1099.15002,843100000.0
2004-08-31T00:00:00-04:00,1104.23999,1099.15002,1104.23999,1094.71997,1138200000.0
2004-09-01T00:00:00-04:00,1105.91003,1104.23999,1109.23999,1099.18005,1142100000.0
2004-09-02T00:00:00-04:00,1118.31006,1105.91003,1119.10999,1105.59998,1118400000.0
2004-09-03T00:00:00-04:00,1113.63,1118.31006,1120.80005,1113.56995,924170000.0
2004-09-07T00:00:00-04:00,1121.30005,1113.63,1124.07996,1113.63,1214400000.0
2004-09-08T00:00:00-04:00,1116.27002,1121.30005,1123.05005,1116.27002,1246300000.0
2004-09-09T00:00:00-04:00,1118.38,1116.27002,1121.30005,1113.62,1371300000.0
2004-09-10T00:00:00-04:00,1123.92004,1118.38,1125.26001,1114.39001,1261200000.0
2004-09-13T00:00:00-04:00,1125.81995,1123.92004,1129.78003,1123.34998,1299800000.0
2004-09-14T00:00:00-04:00,1128.32996,1125.81995,1129.45996,1124.71997,1204500000.0
2004-09-15T00:00:00-04:00,1120.37,1128.32996,1128.32996,1119.81995,1256000000.0
2004-09-16T00:00:00-04:00,1123.5,1120.37,1126.06006,1120.37,1113900000.0
2004-09-17T00:00:00-04:00,1128.55005,1123.5,1130.14001,1123.5,1422600000.0
2004-09-20T00:00:00-04:00,1122.19995,1128.55005,1128.55005,1120.33997,1197600000.0
2004-09-21T00:00:00-04:00,1129.30005,1122.19995,1131.54004,1122.19995,1325000000.0
2004-09-22T00:00:00-04:00,1113.56006,1129.30005,1129.30005,1112.67004,1379900000.0
2004-09-23T00:00:00-04:00,1108.35999,1113.56006,1113.60999,1108.05005,1286300000.0
2004-09-24T00:00:00-04:00,1110.10999,1108.35999,1113.81006,1108.35999,1255400000.0
2004-09-27T00:00:00-04:00,1103.52002,1110.10999,1110.10999,1103.23999,1263500000.0
2004-09-28T00:00:00-04:00,1110.06006,1103.52002,1111.77002,1101.29004,1396600000.0
2004-09-29T00:00:00-04:00,1114.80005,1110.06006,1114.80005,1107.42004,1402900000.0
2004-09-30T00:00:00-04:00,1114.57996,1114.80005,1116.31006,1109.68005,1748000000.0
2004-10-01T00:00:00-04:00,1131.5,1114.57996,1131.64001,1114.57996,1582200000.0
2004-10-04T00:00:00-04:00,1135.17004,1131.5,1140.13,1131.5,1534000000.0
2004-10-05T00:00:00-04:00,1134.47998,1135.17004,1137.87,1132.03003,1418400000.0
2004-10-06T00:00:00-04:00,1142.05005,1134.47998,1142.05005,1132.93994,1416700000.0
2004-10-07T00:00:00-04:00,1130.65002,1142.05005,1142.05005,1130.5,1447500000.0
2004-10-08T00:00:00-04:00,1122.14001,1130.65002,1132.92004,1120.18994,1291600000.0
2004-10-11T00:00:00-04:00,1124.39001,1122.14001,1126.19995,1122.14001,943800000.0
2004-10-12T00:00:00-04:00,1121.83997,1124.39001,1124.39001,1115.77002,1320100000.0
2004-10-13T00:00:00-04:00,1113.65002,1121.83997,1127.01001,1109.63,1546200000.0
2004-10-14T00:00:00-04:00,1103.29004,1113.65002,1114.95996,1102.06006,1489500000.0
2004-10-15T00:00:00-04:00,1108.19995,1103.29004,1113.17004,1102.14001,1645100000.0
2004-10-18T00:00:00-04:00,1114.02002,1108.19995,1114.45996,1103.32996,1373300000.0
2004-10-19T00:00:00-04:00,1103.22998,1114.02002,1117.95996,1103.15002,1737500000.0
2004-10-20T00:00:00-04:00,1103.66003,1103.22998,1104.08997,1094.25,1685700000.0
2004-10-21T00:00:00-04:00,1106.48999,1103.66003,1108.87,1098.46997,1673000000.0
2004-10-22T00:00:00-04:00,1095.73999,1106.48999,1108.14001,1095.46997,1469600000.0
2004-10-25T00:00:00-04:00,1094.80005,1095.73999,1096.81006,1090.29004,1380500000.0
2004-10-26T00:00:00-04:00,1111.08997,1094.81006,1111.09998,1094.81006,1685400000.0
2004-10-27T00:00:00-04:00,1125.40002,1111.08997,1126.29004,1107.43005,1741900000.0
2004-10-28T00:00:00-04:00,1127.43994,1125.33997,1130.67004,1120.59998,1628200000.0
2004-10-29T00:00:00-04:00,1130.19995,1127.43994,1131.40002,1124.62,1500800000.0
2004-11-01T00:00:00-05:00,1130.51001,1130.19995,1133.41003,1127.59998,1395900000.0
2004-11-02T00:00:00-05:00,1130.56006,1130.51001,1140.47998,1128.12,1659000000.0
2004-11-03T00:00:00-05:00,1143.19995,1130.54004,1147.56995,1130.54004,1767500000.0
2004-11-04T00:00:00-05:00,1161.67004,1143.19995,1161.67004,1142.33997,1782700000.0
2004-11-05T00:00:00-05:00,1166.17004,1161.67004,1170.87,1160.66003,1724400000.0
2004-11-08T00:00:00-05:00,1164.89001,1166.17004,1166.77002,1162.31995,1358700000.0
2004-11-09T00:00:00-05:00,1164.07996,1164.89001,1168.95996,1162.47998,1450800000.0
2004-11-10T00:00:00-05:00,1162.91003,1164.07996,1169.25,1162.51001,1504300000.0
2004-11-11T00:00:00-05:00,1173.47998,1162.91003,1174.80005,1162.91003,1393000000.0
2004-11-12T00:00:00-05:00,1184.17004,1173.47998,1184.17004,1171.43005,1531600000.0
2004-11-15T00:00:00-05:00,1183.81006,1184.17004,1184.47998,1179.84998,1453300000.0
2004-11-16T00:00:00-05:00,1175.43005,1183.81006,1183.81006,1175.31995,1364400000.0
2004-11-17T00:00:00-05:00,1181.93994,1175.43005,1188.45996,1175.43005,1684200000.0
2004-11-18T00:00:00-05:00,1183.55005,1181.93994,1184.90002,1180.15002,1456700000.0
2004-11-19T00:00:00-05:00,1170.33997,1183.55005,1184.0,1169.18994,1526600000.0
